#           k/h    P           
    0.10736E-04    0.29615E+02
    0.10953E-04    0.30190E+02
    0.11174E-04    0.30777E+02
    0.11400E-04    0.31375E+02
    0.11630E-04    0.31985E+02
    0.11865E-04    0.32607E+02
    0.12105E-04    0.33240E+02
    0.12349E-04    0.33886E+02
    0.12599E-04    0.34545E+02
    0.12853E-04    0.35216E+02
    0.13113E-04    0.35901E+02
    0.13378E-04    0.36598E+02
    0.13648E-04    0.37310E+02
    0.13924E-04    0.38035E+02
    0.14205E-04    0.38774E+02
    0.14492E-04    0.39527E+02
    0.14785E-04    0.40296E+02
    0.15083E-04    0.41079E+02
    0.15388E-04    0.41877E+02
    0.15699E-04    0.42691E+02
    0.16016E-04    0.43520E+02
    0.16340E-04    0.44366E+02
    0.16670E-04    0.45228E+02
    0.17006E-04    0.46107E+02
    0.17350E-04    0.47003E+02
    0.17700E-04    0.47917E+02
    0.18058E-04    0.48848E+02
    0.18423E-04    0.49798E+02
    0.18795E-04    0.50765E+02
    0.19175E-04    0.51752E+02
    0.19562E-04    0.52758E+02
    0.19957E-04    0.53783E+02
    0.20360E-04    0.54828E+02
    0.20772E-04    0.55894E+02
    0.21191E-04    0.56980E+02
    0.21619E-04    0.58087E+02
    0.22056E-04    0.59216E+02
    0.22502E-04    0.60367E+02
    0.22956E-04    0.61540E+02
    0.23420E-04    0.62736E+02
    0.23893E-04    0.63955E+02
    0.24376E-04    0.65198E+02
    0.24868E-04    0.66465E+02
    0.25371E-04    0.67757E+02
    0.25883E-04    0.69074E+02
    0.26406E-04    0.70416E+02
    0.26939E-04    0.71784E+02
    0.27484E-04    0.73180E+02
    0.28039E-04    0.74602E+02
    0.28605E-04    0.76051E+02
    0.29183E-04    0.77529E+02
    0.29773E-04    0.79036E+02
    0.30374E-04    0.80572E+02
    0.30988E-04    0.82138E+02
    0.31614E-04    0.83734E+02
    0.32252E-04    0.85361E+02
    0.32904E-04    0.87020E+02
    0.33569E-04    0.88711E+02
    0.34247E-04    0.90435E+02
    0.34938E-04    0.92193E+02
    0.35644E-04    0.93984E+02
    0.36364E-04    0.95811E+02
    0.37099E-04    0.97673E+02
    0.37848E-04    0.99571E+02
    0.38613E-04    0.10151E+03
    0.39393E-04    0.10348E+03
    0.40189E-04    0.10549E+03
    0.41001E-04    0.10754E+03
    0.41829E-04    0.10963E+03
    0.42674E-04    0.11176E+03
    0.43536E-04    0.11393E+03
    0.44416E-04    0.11614E+03
    0.45313E-04    0.11840E+03
    0.46228E-04    0.12070E+03
    0.47162E-04    0.12305E+03
    0.48115E-04    0.12544E+03
    0.49087E-04    0.12788E+03
    0.50078E-04    0.13036E+03
    0.51090E-04    0.13290E+03
    0.52122E-04    0.13548E+03
    0.53175E-04    0.13811E+03
    0.54249E-04    0.14079E+03
    0.55345E-04    0.14353E+03
    0.56463E-04    0.14632E+03
    0.57604E-04    0.14916E+03
    0.58767E-04    0.15206E+03
    0.59955E-04    0.15501E+03
    0.61166E-04    0.15803E+03
    0.62401E-04    0.16110E+03
    0.63662E-04    0.16423E+03
    0.64948E-04    0.16742E+03
    0.66260E-04    0.17067E+03
    0.67599E-04    0.17399E+03
    0.68964E-04    0.17737E+03
    0.70357E-04    0.18082E+03
    0.71779E-04    0.18433E+03
    0.73229E-04    0.18791E+03
    0.74708E-04    0.19156E+03
    0.76217E-04    0.19528E+03
    0.77757E-04    0.19908E+03
    0.79328E-04    0.20294E+03
    0.80930E-04    0.20689E+03
    0.82565E-04    0.21091E+03
    0.84233E-04    0.21500E+03
    0.85935E-04    0.21918E+03
    0.87671E-04    0.22344E+03
    0.89442E-04    0.22778E+03
    0.91249E-04    0.23221E+03
    0.93092E-04    0.23672E+03
    0.94973E-04    0.24131E+03
    0.96891E-04    0.24600E+03
    0.98849E-04    0.25078E+03
    0.10085E-03    0.25565E+03
    0.10288E-03    0.26062E+03
    0.10496E-03    0.26568E+03
    0.10708E-03    0.27084E+03
    0.10924E-03    0.27610E+03
    0.11145E-03    0.28146E+03
    0.11370E-03    0.28693E+03
    0.11600E-03    0.29250E+03
    0.11834E-03    0.29818E+03
    0.12073E-03    0.30398E+03
    0.12317E-03    0.30988E+03
