#           k/h    P           
    0.10736E-04    0.31895E+01
    0.10953E-04    0.32515E+01
    0.11174E-04    0.33147E+01
    0.11400E-04    0.33791E+01
    0.11630E-04    0.34448E+01
    0.11865E-04    0.35117E+01
    0.12105E-04    0.35800E+01
    0.12349E-04    0.36496E+01
    0.12599E-04    0.37205E+01
    0.12853E-04    0.37928E+01
    0.13113E-04    0.38665E+01
    0.13378E-04    0.39416E+01
    0.13648E-04    0.40182E+01
    0.13924E-04    0.40963E+01
    0.14205E-04    0.41759E+01
    0.14492E-04    0.42571E+01
    0.14785E-04    0.43398E+01
    0.15083E-04    0.44242E+01
    0.15388E-04    0.45102E+01
    0.15699E-04    0.45978E+01
    0.16016E-04    0.46872E+01
    0.16340E-04    0.47783E+01
    0.16670E-04    0.48711E+01
    0.17006E-04    0.49658E+01
    0.17350E-04    0.50623E+01
    0.17700E-04    0.51607E+01
    0.18058E-04    0.52610E+01
    0.18423E-04    0.53632E+01
    0.18795E-04    0.54674E+01
    0.19175E-04    0.55737E+01
    0.19562E-04    0.56820E+01
    0.19957E-04    0.57924E+01
    0.20360E-04    0.59050E+01
    0.20772E-04    0.60198E+01
    0.21191E-04    0.61368E+01
    0.21619E-04    0.62560E+01
    0.22056E-04    0.63776E+01
    0.22502E-04    0.65015E+01
    0.22956E-04    0.66279E+01
    0.23420E-04    0.67567E+01
    0.23893E-04    0.68880E+01
    0.24376E-04    0.70219E+01
    0.24868E-04    0.71583E+01
    0.25371E-04    0.72974E+01
    0.25883E-04    0.74393E+01
    0.26406E-04    0.75838E+01
    0.26939E-04    0.77312E+01
    0.27484E-04    0.78815E+01
    0.28039E-04    0.80346E+01
    0.28605E-04    0.81908E+01
    0.29183E-04    0.83500E+01
    0.29773E-04    0.85122E+01
    0.30374E-04    0.86777E+01
    0.30988E-04    0.88463E+01
    0.31614E-04    0.90182E+01
    0.32252E-04    0.91935E+01
    0.32904E-04    0.93721E+01
    0.33569E-04    0.95543E+01
    0.34247E-04    0.97399E+01
    0.34938E-04    0.99292E+01
    0.35644E-04    0.10122E+02
    0.36364E-04    0.10319E+02
    0.37099E-04    0.10519E+02
    0.37848E-04    0.10724E+02
    0.38613E-04    0.10932E+02
    0.39393E-04    0.11145E+02
    0.40189E-04    0.11361E+02
    0.41001E-04    0.11582E+02
    0.41829E-04    0.11807E+02
    0.42674E-04    0.12037E+02
    0.43536E-04    0.12271E+02
    0.44416E-04    0.12509E+02
    0.45313E-04    0.12752E+02
    0.46228E-04    0.13000E+02
    0.47162E-04    0.13252E+02
    0.48115E-04    0.13510E+02
    0.49087E-04    0.13773E+02
    0.50078E-04    0.14040E+02
    0.51090E-04    0.14313E+02
    0.52122E-04    0.14591E+02
    0.53175E-04    0.14875E+02
    0.54249E-04    0.15164E+02
    0.55345E-04    0.15458E+02
    0.56463E-04    0.15759E+02
    0.57604E-04    0.16065E+02
    0.58767E-04    0.16377E+02
    0.59955E-04    0.16695E+02
    0.61166E-04    0.17020E+02
    0.62401E-04    0.17351E+02
    0.63662E-04    0.17688E+02
    0.64948E-04    0.18031E+02
    0.66260E-04    0.18382E+02
    0.67599E-04    0.18739E+02
    0.68964E-04    0.19103E+02
    0.70357E-04    0.19474E+02
    0.71779E-04    0.19853E+02
    0.73229E-04    0.20238E+02
    0.74708E-04    0.20632E+02
    0.76217E-04    0.21033E+02
    0.77757E-04    0.21441E+02
    0.79328E-04    0.21858E+02
    0.80930E-04    0.22283E+02
    0.82565E-04    0.22716E+02
    0.84233E-04    0.23157E+02
    0.85935E-04    0.23607E+02
    0.87671E-04    0.24065E+02
    0.89442E-04    0.24533E+02
    0.91249E-04    0.25010E+02
