#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.152296E+08   0.152296E+08   0.202980E+08   0.202980E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.887529E-02
   0.109527E-04   0.152296E+08   0.152296E+08   0.202976E+08   0.202976E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.905457E-02
   0.111740E-04   0.152296E+08   0.152296E+08   0.202973E+08   0.202973E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.923748E-02
   0.113997E-04   0.152296E+08   0.152296E+08   0.202969E+08   0.202969E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.942408E-02
   0.116300E-04   0.152296E+08   0.152296E+08   0.202966E+08   0.202965E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.961445E-02
   0.118650E-04   0.152296E+08   0.152296E+08   0.202962E+08   0.202961E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.980866E-02
   0.121046E-04   0.152296E+08   0.152296E+08   0.202958E+08   0.202957E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.100068E-01
   0.123492E-04   0.152296E+08   0.152296E+08   0.202953E+08   0.202953E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.102089E-01
   0.125986E-04   0.152296E+08   0.152296E+08   0.202949E+08   0.202949E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.104152E-01
   0.128531E-04   0.152296E+08   0.152296E+08   0.202944E+08   0.202944E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.106255E-01
   0.131128E-04   0.152296E+08   0.152296E+08   0.202939E+08   0.202939E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.108402E-01
   0.133777E-04   0.152296E+08   0.152296E+08   0.202934E+08   0.202934E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.110592E-01
   0.136479E-04   0.152296E+08   0.152296E+08   0.202929E+08   0.202929E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545857E+00   0.116187E+08   0.116187E+08   0.112826E-01
