#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.183213E+06   0.183213E+06   0.244283E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.477601E+00
   0.109527E-04   0.183213E+06   0.183212E+06   0.244283E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.487249E+00
   0.111740E-04   0.183213E+06   0.183213E+06   0.244283E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.497093E+00
   0.113997E-04   0.183213E+06   0.183213E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.507134E+00
   0.116300E-04   0.183213E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.517379E+00
   0.118650E-04   0.183213E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.527831E+00
   0.121046E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.538494E+00
   0.123492E-04   0.183213E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183213E+06   0.183213E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.549372E+00
   0.125986E-04   0.183213E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.560470E+00
   0.128531E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.571793E+00
   0.131128E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.583344E+00
   0.133777E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.595128E+00
   0.136479E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.607150E+00
   0.139237E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.619415E+00
   0.142049E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.631928E+00
   0.144919E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.644694E+00
   0.147846E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192354E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.657718E+00
   0.150833E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244282E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.671005E+00
   0.153880E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182383E+06   0.182383E+06   0.684560E+00
   0.156989E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182383E+06   0.182382E+06   0.698389E+00
   0.160160E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182383E+06   0.182382E+06   0.712497E+00
   0.163396E-04   0.183212E+06   0.183212E+06   0.244282E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.726891E+00
   0.166696E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.741575E+00
   0.170064E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.756555E+00
   0.173499E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.771839E+00
   0.177004E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.787431E+00
   0.180580E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.803338E+00
   0.184228E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.819567E+00
   0.187950E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244281E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.836123E+00
   0.191746E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605295E+00   0.182382E+06   0.182382E+06   0.853014E+00
   0.195620E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.870246E+00
   0.199572E-04   0.183212E+06   0.183212E+06   0.244281E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.887826E+00
   0.203603E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.905761E+00
   0.207716E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.924058E+00
   0.211913E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.942725E+00
   0.216194E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244280E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.961769E+00
   0.220561E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.981199E+00
   0.225017E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.100102E+01
   0.229562E-04   0.183212E+06   0.183212E+06   0.244280E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.102124E+01
   0.234200E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.104187E+01
   0.238931E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.106292E+01
   0.243758E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244279E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.108439E+01
   0.248682E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244278E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.110630E+01
   0.253705E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244278E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.112865E+01
   0.258831E-04   0.183212E+06   0.183212E+06   0.244279E+06   0.244278E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.115145E+01
   0.264059E-04   0.183212E+06   0.183212E+06   0.244278E+06   0.244278E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.117471E+01
   0.269394E-04   0.183212E+06   0.183212E+06   0.244278E+06   0.244277E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.119844E+01
   0.274836E-04   0.183212E+06   0.183212E+06   0.244278E+06   0.244277E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.122265E+01
   0.280388E-04   0.183212E+06   0.183212E+06   0.244278E+06   0.244277E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.124735E+01
   0.286052E-04   0.183212E+06   0.183212E+06   0.244278E+06   0.244277E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605294E+00   0.182382E+06   0.182382E+06   0.127255E+01
   0.291831E-04   0.183212E+06   0.183212E+06   0.244277E+06   0.244276E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.129825E+01
   0.297726E-04   0.183212E+06   0.183212E+06   0.244277E+06   0.244276E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.132448E+01
   0.303741E-04   0.183212E+06   0.183212E+06   0.244277E+06   0.244276E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.135124E+01
   0.309877E-04   0.183212E+06   0.183212E+06   0.244277E+06   0.244276E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.137853E+01
   0.316137E-04   0.183212E+06   0.183212E+06   0.244276E+06   0.244275E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.140638E+01
   0.322523E-04   0.183212E+06   0.183212E+06   0.244276E+06   0.244275E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.143479E+01
   0.329038E-04   0.183212E+06   0.183212E+06   0.244276E+06   0.244275E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.146378E+01
   0.335685E-04   0.183212E+06   0.183212E+06   0.244275E+06   0.244274E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.149335E+01
   0.342467E-04   0.183212E+06   0.183212E+06   0.244275E+06   0.244274E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.152351E+01
   0.349385E-04   0.183212E+06   0.183212E+06   0.244275E+06   0.244273E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.155429E+01
   0.356443E-04   0.183212E+06   0.183212E+06   0.244274E+06   0.244273E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605293E+00   0.182382E+06   0.182382E+06   0.158569E+01
   0.363643E-04   0.183212E+06   0.183212E+06   0.244274E+06   0.244273E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.161772E+01
   0.370990E-04   0.183212E+06   0.183212E+06   0.244274E+06   0.244272E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.165040E+01
   0.378484E-04   0.183212E+06   0.183212E+06   0.244273E+06   0.244272E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.168374E+01
   0.386130E-04   0.183212E+06   0.183212E+06   0.244273E+06   0.244271E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.171775E+01
   0.393930E-04   0.183212E+06   0.183212E+06   0.244272E+06   0.244271E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.175245E+01
   0.401888E-04   0.183212E+06   0.183212E+06   0.244272E+06   0.244270E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.178786E+01
   0.410007E-04   0.183212E+06   0.183212E+06   0.244271E+06   0.244270E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192353E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.182397E+01
   0.418290E-04   0.183212E+06   0.183212E+06   0.244271E+06   0.244269E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605292E+00   0.182382E+06   0.182382E+06   0.186082E+01
   0.426740E-04   0.183212E+06   0.183212E+06   0.244270E+06   0.244268E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.189841E+01
   0.435360E-04   0.183212E+06   0.183212E+06   0.244270E+06   0.244268E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.193676E+01
   0.444155E-04   0.183212E+06   0.183212E+06   0.244269E+06   0.244267E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.197589E+01
   0.453128E-04   0.183212E+06   0.183212E+06   0.244269E+06   0.244267E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.201580E+01
   0.462281E-04   0.183212E+06   0.183212E+06   0.244268E+06   0.244266E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.205652E+01
   0.471620E-04   0.183212E+06   0.183212E+06   0.244267E+06   0.244265E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605291E+00   0.182382E+06   0.182382E+06   0.209807E+01
   0.481147E-04   0.183212E+06   0.183212E+06   0.244267E+06   0.244264E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605290E+00   0.182382E+06   0.182382E+06   0.214045E+01
   0.490867E-04   0.183212E+06   0.183212E+06   0.244266E+06   0.244264E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605290E+00   0.182382E+06   0.182382E+06   0.218369E+01
   0.500783E-04   0.183212E+06   0.183211E+06   0.244265E+06   0.244263E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605290E+00   0.182382E+06   0.182382E+06   0.222780E+01
   0.510900E-04   0.183212E+06   0.183211E+06   0.244265E+06   0.244262E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605290E+00   0.182382E+06   0.182382E+06   0.227281E+01
   0.521221E-04   0.183212E+06   0.183211E+06   0.244264E+06   0.244261E+06   0.000000E+00   0.183212E+06   0.183212E+06   0.192352E+06  -0.605289E+00   0.182382E+06   0.182382E+06   0.231872E+01
